letter,octave,velocity,time_on,time_off,duration,note_number
G,5,107,34740,34980,240,67
C,6,107,34987,34998,11,72
C#,6,107,35005,35016,11,73
D,6,107,35022,35033,11,74
D#,6,107,35040,35051,11,75
E,6,32,35051,35061,10,76
F,6,107,35070,35310,240,77
F,6,107,35520,35580,60,77
F,6,107,35700,35760,60,77
F,6,107,35820,35850,30,77
F,6,107,35880,35910,30,77
F,6,107,35340,35940,600,77
E,6,107,35940,35970,30,76
E,6,107,36000,36240,240,76
D,6,107,36360,36420,60,74
D,6,107,36480,36600,120,74
D,6,107,36660,36720,60,74
D,6,107,36780,36810,30,74
D,6,107,36840,36870,30,74
D,6,107,36180,36900,720,74
D,6,107,36900,36930,30,74
D,6,107,36960,36990,30,74
E,6,107,37140,37260,120,76
E,6,107,37320,37380,60,76
E,6,107,37440,37560,120,76
E,6,107,37620,37680,60,76
E,6,107,37800,37830,30,76
E,6,107,37020,37860,840,76
E,6,107,37860,37890,30,76
A,5,107,37920,37950,30,69
A,5,107,37980,38010,30,69
A,5,107,38040,38070,30,69
A,5,107,38220,38250,30,69
A#,5,107,38250,38280,30,70
A,5,107,38280,38310,30,69
G,5,107,38100,38340,240,67
G,5,107,38340,38370,30,67
A,5,107,38400,38430,30,69
A,5,107,38460,38490,30,69
A,5,107,38520,38550,30,69
A,5,107,38700,38730,30,69
A#,5,107,38730,38760,30,70
A,5,107,38760,38790,30,69
G,5,107,38580,38820,240,67
C,6,107,38827,38838,11,72
C#,6,107,38845,38856,11,73
D,6,107,38862,38873,11,74
D#,6,107,38880,38891,11,75
E,6,32,38891,38901,10,76
F,6,107,38910,39150,240,77
F,6,107,39360,39420,60,77
F,6,107,39540,39600,60,77
F,6,107,39660,39690,30,77
F,6,107,39720,39750,30,77
F,6,107,39180,39780,600,77
E,6,107,39780,39810,30,76
E,6,107,39840,40080,240,76
D,6,107,40200,40260,60,74
D,6,107,40320,40440,120,74
D,6,107,40500,40560,60,74
D,6,107,40620,40650,30,74
D,6,107,40680,40710,30,74
D,6,107,40020,40740,720,74
D#,6,107,40740,40770,30,75
E,6,107,40980,41040,60,76
E,6,107,41160,41220,60,76
E,6,107,41280,41400,120,76
E,6,107,41460,41520,60,76
E,6,107,41580,41610,30,76
E,6,107,41640,41700,60,76
A,5,107,41760,41790,30,69
A,5,107,41820,41850,30,69
E,6,107,40800,41880,1080,76
A,5,107,41880,41910,30,69
A,5,107,42060,42090,30,69
A#,5,107,42090,42120,30,70
A,5,107,42120,42150,30,69
G,5,107,41940,42180,240,67
G,5,107,42180,42210,30,67
A,5,107,42240,42270,30,69
A,5,107,42300,42330,30,69
A,5,107,42360,42390,30,69
A,5,107,42540,42570,30,69
A#,5,107,42570,42600,30,70
A,5,107,42600,42630,30,69
G,5,107,42420,42660,240,67
G,5,107,42660,42690,30,67
A,5,107,42720,43080,360,69
A,5,108,1920,1960,40,69
F,6,108,1920,1960,40,77
C,6,108,1920,1960,40,72
A,5,108,1980,2020,40,69
F,6,108,1980,2020,40,77
F,5,108,1980,2020,40,65
C,6,108,1980,2020,40,72
A,5,108,2040,2080,40,69
F,6,108,2040,2080,40,77
F,5,108,2040,2080,40,65
C,6,108,2040,2080,40,72
F,6,108,2100,2180,80,77
C,6,108,2100,2180,80,72
G,5,108,2100,2180,80,67
F,5,108,2100,2180,80,65
F,6,108,2220,2300,80,77
C,6,108,2220,2300,80,72
G,5,108,2220,2300,80,67
F,5,108,2220,2300,80,65
F,6,108,2340,2380,40,77
C,6,108,2340,2380,40,72
G,5,108,2340,2380,40,67
F,5,108,2340,2380,40,65
A,5,108,2400,2440,40,69
F,6,108,2400,2440,40,77
F,5,108,2400,2440,40,65
C,6,108,2400,2440,40,72
A,5,108,2460,2500,40,69
F,6,108,2460,2500,40,77
F,5,108,2460,2500,40,65
C,6,108,2460,2500,40,72
A,5,108,2520,2560,40,69
F,6,108,2520,2560,40,77
F,5,108,2520,2560,40,65
C,6,108,2520,2560,40,72
F,6,108,2580,2660,80,77
C,6,108,2580,2660,80,72
G,5,108,2580,2660,80,67
F,5,108,2580,2660,80,65
F,6,108,2700,2780,80,77
C,6,108,2700,2780,80,72
G,5,108,2700,2780,80,67
F,5,108,2700,2780,80,65
F,6,108,2820,2860,40,77
C,6,108,2820,2860,40,72
G,5,108,2820,2860,40,67
F,5,108,2820,2860,40,65
F,6,108,2880,3200,320,77
D,6,108,2880,3200,320,74
A,5,108,2880,3200,320,69
C#,6,108,3840,3880,40,73
E,5,108,3840,3880,40,64
E,6,108,3840,3880,40,76
A,4,108,3840,3880,40,57
A,5,108,3840,3880,40,69
C#,6,108,3900,3940,40,73
E,5,108,3900,3940,40,64
E,6,108,3900,3940,40,76
A,4,108,3900,3940,40,57
A,5,108,3900,3940,40,69
A,4,108,4020,4100,80,57
C#,6,108,4020,4100,80,73
E,6,108,4020,4100,80,76
A,5,108,4020,4100,80,69
E,5,108,4020,4100,80,64
E,5,108,4140,4220,80,64
A,5,108,4140,4220,80,69
E,6,108,4140,4220,80,76
C#,6,108,4140,4220,80,73
A,4,108,4140,4220,80,57
E,5,108,4260,4300,40,64
A,5,108,4260,4300,40,69
E,6,108,4260,4300,40,76
C#,6,108,4260,4300,40,73
A,4,108,4260,4300,40,57
C#,6,108,4320,4360,40,73
E,5,108,4320,4360,40,64
E,6,108,4320,4360,40,76
A,4,108,4320,4360,40,57
A,5,108,4320,4360,40,69
C#,6,108,4380,4420,40,73
E,5,108,4380,4420,40,64
E,6,108,4380,4420,40,76
A,4,108,4380,4420,40,57
A,5,108,4380,4420,40,69
A,4,108,4500,4580,80,57
C#,6,108,4500,4580,80,73
E,6,108,4500,4580,80,76
A,5,108,4500,4580,80,69
E,5,108,4500,4580,80,64
E,5,108,4620,4700,80,64
A,5,108,4620,4700,80,69
E,6,108,4620,4700,80,76
C#,6,108,4620,4700,80,73
A,4,108,4620,4700,80,57
E,5,108,4740,4780,40,64
A,5,108,4740,4780,40,69
E,6,108,4740,4780,40,76
C#,6,108,4740,4780,40,73
A,4,108,4740,4780,40,57
F,6,108,4800,4840,40,77
D,5,108,4800,4840,40,62
A,5,108,4800,4840,40,69
D,6,108,4800,4840,40,74
F,6,108,4860,4900,40,77
D,5,108,4860,4900,40,62
A,5,108,4860,4900,40,69
D,6,108,4860,4900,40,74
F,6,108,4980,5060,80,77
D,6,108,4980,5060,80,74
A,5,108,4980,5060,80,69
D,5,108,4980,5060,80,62
F,6,108,5100,5180,80,77
D,5,108,5100,5180,80,62
A,5,108,5100,5180,80,69
D,6,108,5100,5180,80,74
F,6,108,5220,5260,40,77
D,6,108,5220,5260,40,74
A,5,108,5220,5260,40,69
D,5,108,5220,5260,40,62
F,6,108,5280,5320,40,77
D,5,108,5280,5320,40,62
A,5,108,5280,5320,40,69
D,6,108,5280,5320,40,74
F,6,108,5340,5380,40,77
D,5,108,5340,5380,40,62
A,5,108,5340,5380,40,69
D,6,108,5340,5380,40,74
F,6,108,5460,5540,80,77
D,6,108,5460,5540,80,74
A,5,108,5460,5540,80,69
D,5,108,5460,5540,80,62
F,6,108,5580,5660,80,77
D,5,108,5580,5660,80,62
A,5,108,5580,5660,80,69
D,6,108,5580,5660,80,74
F,6,108,5700,5740,40,77
D,6,108,5700,5740,40,74
A,5,108,5700,5740,40,69
D,5,108,5700,5740,40,62
C#,6,108,5760,5800,40,73
E,5,108,5760,5800,40,64
E,6,108,5760,5800,40,76
A,4,108,5760,5800,40,57
A,5,108,5760,5800,40,69
C#,6,108,5820,5860,40,73
E,5,108,5820,5860,40,64
E,6,108,5820,5860,40,76
A,4,108,5820,5860,40,57
A,5,108,5820,5860,40,69
A,4,108,5940,6020,80,57
C#,6,108,5940,6020,80,73
E,6,108,5940,6020,80,76
A,5,108,5940,6020,80,69
E,5,108,5940,6020,80,64
E,5,108,6060,6140,80,64
A,5,108,6060,6140,80,69
E,6,108,6060,6140,80,76
C#,6,108,6060,6140,80,73
A,4,108,6060,6140,80,57
E,5,108,6180,6220,40,64
A,5,108,6180,6220,40,69
E,6,108,6180,6220,40,76
C#,6,108,6180,6220,40,73
A,4,108,6180,6220,40,57
C#,6,108,6240,6280,40,73
E,5,108,6240,6280,40,64
E,6,108,6240,6280,40,76
A,4,108,6240,6280,40,57
A,5,108,6240,6280,40,69
C#,6,108,6300,6340,40,73
E,5,108,6300,6340,40,64
E,6,108,6300,6340,40,76
A,4,108,6300,6340,40,57
A,5,108,6300,6340,40,69
A,4,108,6420,6500,80,57
C#,6,108,6420,6500,80,73
E,6,108,6420,6500,80,76
A,5,108,6420,6500,80,69
E,5,108,6420,6500,80,64
E,5,108,6540,6620,80,64
A,5,108,6540,6620,80,69
E,6,108,6540,6620,80,76
C#,6,108,6540,6620,80,73
A,4,108,6540,6620,80,57
A,5,108,6660,6700,40,69
A,4,108,6660,6700,40,57
E,6,108,6660,6700,40,76
C#,6,108,6660,6700,40,73
E,5,108,6660,6700,40,64
F,6,108,6720,6760,40,77
A,5,108,6720,6760,40,69
F,5,108,6720,6760,40,65
C,6,108,6720,6760,40,72
F,6,108,6780,6820,40,77
A,5,108,6780,6820,40,69
C,5,108,6780,6820,40,60
F,5,108,6780,6820,40,65
