letter,octave,velocity,time_on,time_off,duration,note_number
D,3,40,12240,12290,50,38
E,3,40,12300,12350,50,40
E,3,50,12360,12410,50,40
F#,3,50,12360,12410,50,42
E,3,40,12420,12470,50,40
E,3,50,12480,12530,50,40
B,2,50,12480,12530,50,35
E,3,40,12540,12590,50,40
E,3,50,12600,12650,50,40
F#,3,50,12600,12650,50,42
E,3,40,12660,12710,50,40
E,3,70,12720,12770,50,40
A#,5,50,12720,12770,50,70
C#,3,60,12720,12770,50,37
F#,3,50,12720,12770,50,42
D,3,40,12720,12770,50,38
E,3,40,12780,12830,50,40
E,3,50,12840,12890,50,40
F#,3,50,12840,12890,50,42
B,2,40,12840,12890,50,35
E,3,40,12900,12950,50,40
E,3,50,12960,13010,50,40
F#,3,50,12960,13010,50,42
B,2,50,12960,13010,50,35
E,3,40,13020,13070,50,40
E,3,50,13080,13130,50,40
F#,3,50,13080,13130,50,42
E,3,40,13140,13190,50,40
E,3,70,13200,13250,50,40
A#,5,50,13200,13250,50,70
C#,3,60,13200,13250,50,37
F#,3,50,13200,13250,50,42
D,3,40,13200,13250,50,38
E,3,40,13260,13310,50,40
E,3,50,13320,13370,50,40
F#,3,50,13320,13370,50,42
E,3,40,13380,13430,50,40
E,3,50,13440,13490,50,40
B,2,50,13440,13490,50,35
E,3,40,13500,13550,50,40
E,3,50,13560,13610,50,40
F#,3,50,13560,13610,50,42
E,3,40,13620,13670,50,40
E,3,70,13680,13730,50,40
A#,5,50,13680,13730,50,70
C#,3,60,13680,13730,50,37
F#,3,50,13680,13730,50,42
D,3,40,13680,13730,50,38
E,3,40,13740,13790,50,40
E,3,50,13800,13850,50,40
F#,3,50,13800,13850,50,42
B,2,40,13800,13850,50,35
E,3,40,13860,13910,50,40
E,3,50,13920,13970,50,40
F#,3,50,13920,13970,50,42
B,2,50,13920,13970,50,35
E,3,40,13980,14030,50,40
E,3,50,14040,14090,50,40
F#,3,50,14040,14090,50,42
E,3,40,14100,14150,50,40
