letter,octave,velocity,time_on,time_off,duration,note_number
A,4,127,71280,71390,110,57
D,5,127,71400,71831,431,62
D,4,127,72000,72125,125,50
C#,4,127,72120,72267,147,49
G,3,127,72240,72363,123,43
A,3,127,72360,72455,95,45
A,3,127,72600,72700,100,45
A,3,127,72720,72838,118,45
D,4,127,72960,73084,124,50
C#,4,127,73080,73212,132,49
G,3,127,73200,73313,113,43
A,3,127,73320,73437,117,45
A,3,127,73560,73664,104,45
A,3,127,73680,73789,109,45
D,4,127,73920,74048,128,50
C#,4,127,74040,74167,127,49
G,3,127,74160,74264,104,43
A,3,127,74280,74398,118,45
A,3,127,74520,74615,95,45
A,3,127,74640,74767,127,45
D,4,127,74880,75015,135,50
C#,4,127,75000,75136,136,49
G,3,127,75120,75223,103,43
A,3,127,75240,75346,106,45
A,3,127,75480,75554,74,45
A,3,127,75600,75721,121,45
F#,3,127,75720,75826,106,42
G,3,127,75840,75957,117,43
B,3,127,76080,76194,114,47
G,3,127,76200,76321,121,43
F#,3,127,76680,76789,109,42
G,3,127,76811,76927,116,43
B,3,127,77040,77154,114,47
G,3,127,77162,77307,145,43
D,4,127,77760,77885,125,50
C#,4,127,77880,78027,147,49
G,3,127,78000,78123,123,43
A,3,127,78120,78215,95,45
A,3,127,78360,78460,100,45
A,3,127,78480,78598,118,45
D,4,127,78720,78844,124,50
C#,4,127,78840,78972,132,49
G,3,127,78960,79073,113,43
A,3,127,79080,79197,117,45
A,3,127,79320,79424,104,45
A,3,127,79440,79549,109,45
D,4,127,79680,79808,128,50
C#,4,127,79800,79927,127,49
G,3,127,79920,80024,104,43
A,3,127,80040,80158,118,45
A,3,127,80280,80375,95,45
A,3,127,80400,80527,127,45
D,4,127,80640,80775,135,50
C#,4,127,80760,80896,136,49
G,3,127,80880,80983,103,43
A,3,127,81000,81106,106,45
A,3,127,81240,81314,74,45
A,3,127,81360,81481,121,45
F#,3,127,81480,81586,106,42
G,3,127,81600,81717,117,43
B,3,127,81840,81954,114,47
G,3,127,81960,82081,121,43
F#,3,127,82440,82549,109,42
G,3,127,82571,82687,116,43
B,3,127,82800,82914,114,47
G,3,127,82922,83067,145,43
D,4,127,83520,83645,125,50
C#,4,127,83640,83787,147,49
G,3,127,83760,83883,123,43
A,3,127,83880,83975,95,45
A,3,127,84120,84220,100,45
A,3,127,84240,84358,118,45
D,4,127,84480,84604,124,50
C#,4,127,84600,84732,132,49
G,3,127,84720,84833,113,43
A,3,127,84840,84957,117,45
A,3,127,85080,85184,104,45
A,3,127,85200,85309,109,45
D,4,127,85440,85568,128,50
C#,4,127,85560,85687,127,49
G,3,127,85680,85784,104,43
A,3,127,85800,85918,118,45
A,3,127,86040,86135,95,45
A,3,127,86160,86287,127,45
D,4,127,86400,86535,135,50
C#,4,127,86520,86656,136,49
G,3,127,86640,86743,103,43
A,3,127,86760,86866,106,45
A,3,127,87000,87074,74,45
A,3,127,87120,87241,121,45
F#,3,127,87240,87346,106,42
G,3,127,87360,87477,117,43
B,3,127,87600,87714,114,47
G,3,127,87720,87841,121,43
F#,3,127,88200,88309,109,42
G,3,127,88331,88447,116,43
B,3,127,88560,88674,114,47
G,3,127,88682,88827,145,43
D,4,127,89280,89405,125,50
C#,4,127,89400,89547,147,49
G,3,127,89520,89643,123,43
A,3,127,89640,89735,95,45
A,3,127,89880,89980,100,45
A,3,127,90000,90118,118,45
D,4,127,90240,90364,124,50
C#,4,127,90360,90492,132,49
G,3,127,90480,90593,113,43
A,3,127,90600,90717,117,45
A,3,127,90840,90944,104,45
A,3,127,90960,91069,109,45
D,4,127,91200,91328,128,50
C#,4,127,91320,91447,127,49
G,3,127,91440,91544,104,43
A,3,127,91560,91678,118,45
A,3,127,91800,91895,95,45
A,3,127,91920,92047,127,45
D,4,127,92160,92295,135,50
C#,4,127,92280,92416,136,49
G,3,127,92400,92503,103,43
A,3,127,92520,92626,106,45
A,3,127,92760,92834,74,45
A,3,127,92880,93001,121,45
F#,3,127,93000,93106,106,42
G,3,127,93120,93237,117,43
B,3,127,93360,93474,114,47
G,3,127,93480,93601,121,43
F#,3,127,93960,94069,109,42
G,3,127,94091,94207,116,43
B,3,127,94320,94434,114,47
G,3,127,94442,94587,145,43
D,4,127,95040,95165,125,50
C#,4,127,95160,95307,147,49
G,3,127,95280,95403,123,43
A,3,127,95400,95495,95,45
A,3,127,95640,95740,100,45
A,3,127,95760,95878,118,45
D,4,127,96000,96124,124,50
C#,4,127,96120,96252,132,49
G,3,127,96240,96353,113,43
A,3,127,96360,96477,117,45
A,3,127,96600,96704,104,45
A,3,127,96720,96829,109,45
D,4,127,96960,97088,128,50
C#,4,127,97080,97207,127,49
G,3,127,97200,97304,104,43
A,3,127,97320,97438,118,45
A,3,127,97560,97655,95,45
A,3,127,97680,97807,127,45
D,4,127,97920,98055,135,50
C#,4,127,98040,98176,136,49
G,3,127,98160,98263,103,43
A,3,127,98280,98386,106,45
A,3,127,98520,98594,74,45
A,3,127,98640,98761,121,45
F#,3,127,98760,98866,106,42
G,3,127,98880,98997,117,43
B,3,127,99120,99234,114,47
G,3,127,99240,99361,121,43
F#,3,127,99720,99829,109,42
G,3,127,99851,99967,116,43
B,3,127,100080,100194,114,47
G,3,127,100202,100347,145,43
D,4,127,100800,100925,125,50
C#,4,127,100920,101067,147,49
G,3,127,101040,101163,123,43
A,3,127,101160,101255,95,45
A,3,127,101400,101500,100,45
A,3,127,101520,101638,118,45
D,4,127,101760,101884,124,50
C#,4,127,101880,102012,132,49
G,3,127,102000,102113,113,43
A,3,127,102120,102237,117,45
A,3,127,102360,102464,104,45
A,3,127,102480,102589,109,45
D,4,127,102720,102848,128,50
C#,4,127,102840,102967,127,49
G,3,127,102960,103064,104,43
A,3,127,103080,103198,118,45
A,3,127,103320,103415,95,45
A,3,127,103440,103567,127,45
D,4,127,103680,103815,135,50
C#,4,127,103800,103936,136,49
G,3,127,103920,104023,103,43
A,3,127,104040,104146,106,45
A,3,127,104280,104354,74,45
A,3,127,104400,104521,121,45
F#,3,127,104520,104626,106,42
G,3,127,104640,104757,117,43
B,3,127,104880,104994,114,47
G,3,127,105000,105121,121,43
F#,3,127,105480,105589,109,42
G,3,127,105611,105727,116,43
B,3,127,105840,105954,114,47
G,3,127,105962,106107,145,43
D,4,127,106560,106685,125,50
C#,4,127,106680,106827,147,49
G,3,127,106800,106923,123,43
A,3,127,106920,107015,95,45
A,3,127,107160,107260,100,45
A,3,127,107280,107398,118,45
D,4,127,107520,107644,124,50
C#,4,127,107640,107772,132,49
G,3,127,107760,107873,113,43
A,3,127,107880,107997,117,45
A,3,127,108120,108224,104,45
A,3,127,108240,108349,109,45
D,4,127,108480,108608,128,50
C#,4,127,108600,108727,127,49
G,3,127,108720,108824,104,43
A,3,127,108840,108958,118,45
A,3,127,109080,109175,95,45
A,3,127,109200,109327,127,45
D,4,127,109440,109575,135,50
C#,4,127,109560,109696,136,49
G,3,127,109680,109783,103,43
A,3,127,109800,109906,106,45
A,3,127,110040,110114,74,45
A,3,127,110160,110281,121,45
F#,3,127,110280,110386,106,42
G,3,127,110400,110517,117,43
B,3,127,110640,110754,114,47
G,3,127,110760,110881,121,43
F#,3,127,111240,111349,109,42
G,3,127,111371,111487,116,43
B,3,127,111600,111714,114,47
G,3,127,111722,111867,145,43
D,4,127,112320,112445,125,50
C#,4,127,112440,112587,147,49
G,3,127,112560,112683,123,43
A,3,127,112680,112775,95,45
A,3,127,112920,113020,100,45
A,3,127,113040,113158,118,45
D,4,127,113280,113404,124,50
C#,4,127,113400,113532,132,49
G,3,127,113520,113633,113,43
A,3,127,113640,113757,117,45
A,3,127,113880,113984,104,45
A,3,127,114000,114109,109,45
D,4,127,114240,114368,128,50
C#,4,127,114360,114487,127,49
G,3,127,114480,114584,104,43
A,3,127,114600,114718,118,45
A,3,127,114840,114935,95,45
A,3,127,114960,115087,127,45
D,4,127,115200,115335,135,50
C#,4,127,115320,115456,136,49
G,3,127,115440,115543,103,43
A,3,127,115560,115666,106,45
A,3,127,115800,115874,74,45
